raw_team_name,normalized_team,classified_as,appearances
ｽﾛﾍﾞﾆｱ,スロベニア,Other,4
北アイ,北アイ,Other,4
ﾙｸｾﾝﾌﾞ,ルクセンブ,Other,4
ﾎﾟｰﾗﾝ,ポーラン,Other,4
長野,長野,J3,4
沼津,沼津,J3,4
ﾌｪﾛｰ,フェロー,Other,4
ﾌｨﾝﾗﾝ,フィンラン,Other,4
栃木SC,栃木,J2,4
ﾍﾞﾙｷﾞｰ,ベルギー,Other,4
ﾁｪｺ,チェコ,Other,4
ﾎﾙｽﾀｲﾝ,ホルスタイン,Other,4
ｻｳｻﾞﾝ,サウザン,Other,4
ｱﾀﾗﾝﾀ,アタランタ,Other,3
ﾊﾟﾘSG,パリSG,Other,3
Rﾏﾄﾞﾘｰ,Rマドリー,Other,3
ﾃﾞﾝﾏｰｸ,デンマーク,Other,3
ﾘﾄｱﾆｱ,リトアニア,Other,3
ﾎﾞｽﾆｱ,ボスニア,Other,3
ﾏﾙﾀ,マルタ,Other,3
ｱｲｽﾗﾝ,アイスラン,Other,3
ﾉﾙｳｪｰ,ノルウェー,Other,3
ｴｽﾄﾆｱ,エストニア,Other,3
ｼﾞﾌﾞﾗﾙ,ジブラル,Other,3
ｷﾞﾘｼｬ,ギリシャ,Other,3
ﾌﾗﾝｽ,フランス,Other,3
金沢,金沢,J3,3
Aﾏﾄﾞﾘｰ,Aマドリー,Other,2
ｸﾞﾘﾑﾄ,グリムト,Other,2
ｽﾎﾟﾙﾃｨ,スポルティ,Other,2
ｲﾝﾃﾙ,インテル,Other,2
ﾓﾅｺ,モナコ,Other,2
ﾍﾞﾝﾌｨｶ,ベンフィカ,Other,2
ｽｺｯﾄﾗﾝ,スコットラン,Other,2
ﾙｰﾏﾆｱ,ルーマニア,Other,2
ｻﾝﾏﾘﾉ,サンマリノ,Other,2
ｲﾝｸﾞﾗﾝ,イングラン,Other,2
ｾﾙﾋﾞｱ,セルビア,Other,2
ﾎﾟﾙﾄｶﾞ,ポルトガ,Other,2
ｱｾﾞﾙﾊﾞ,アゼルバ,Other,2
ﾊﾝｶﾞﾘｰ,ハンガリー,Other,2
ｱﾙﾊﾞﾆｱ,アルバニア,Other,2
ｲﾀﾘｱ,イタリア,Other,2
奈良,奈良,J3,2
日本,日本,Other,2
ｲﾝﾄﾞﾈｼ,インドネシ,Other,2
中国,中国,Other,2
ﾊﾞｰﾚｰﾝ,バーレーン,Other,2
ｻｳｼﾞ,サウジ,Other,2
ｵｰｽﾄﾗﾘ,オーストラリ,Other,2
韓国,韓国,Other,2
ｸｳｪｰﾄ,クウェート,Other,2
ｳｽﾞﾍﾞｷ,ウズベキ,Other,2
ｶﾀｰﾙ,カタール,Other,2
ﾖﾙﾀﾞﾝ,ヨルダン,Other,2
ｲﾗｸ,イラク,Other,2
UAE,UAE,Other,2
ｲﾌﾟｽ,イプス,Other,2
滋賀,滋賀,Other,1
ﾌﾞﾙｯﾍ,ブルッヘ,Other,1
ｶﾗﾊﾞﾌ,カラバフ,Other,1
ｱｲﾝﾄﾎｰ,アイントホー,Other,1
ﾋﾞﾙﾊﾞｵ,ビルバオ,Other,1
ﾊﾟﾌｫｽ,パフォス,Other,1
ｽﾗｳﾞｨｱ,スラヴィア,Other,1
ﾊﾞﾙｾﾛﾅ,バルセロナ,Other,1
ｺﾍﾟﾝﾊｰ,コペンハー,Other,1
ﾅﾎﾟﾘ,ナポリ,Other,1
ﾕｳﾞｪﾝﾄ,ユヴェント,Other,1
ｶｲﾗﾄ,カイラト,Other,1
ｻﾝｼﾞﾛﾜ,サンジロワ,Other,1
ｽﾍﾟｲﾝ,スペイン,Other,1
ﾄﾙｺ,トルコ,Other,1
ﾌﾞﾙｶﾞﾘ,ブルガリ,Other,1
ｼﾞｮｼﾞｱ,ジョジア,Other,1
ｱｲﾙﾗﾝ,アイルラン,Other,1
ｱﾙﾒﾆｱ,アルメニア,Other,1
ｱﾝﾄﾞﾗ,アンドラ,Other,1
ﾓﾙﾄﾞﾊﾞ,モルドバ,Other,1
ｶｻﾞﾌ,カザフ,Other,1
ｷﾌﾟﾛｽ,キプロス,Other,1
ｴｸｱﾄﾞﾙ,エクアドル,Other,1
ｱﾙｾﾞﾝﾁ,アルゼンチ,Other,1
ﾍﾟﾙｰ,ペルー,Other,1
ﾊﾟﾗｸﾞｱ,パラグア,Other,1
ﾎﾞﾘﾋﾞｱ,ボリビア,Other,1
ﾌﾞﾗｼﾞﾙ,ブラジル,Other,1
ﾁﾘ,チリ,Other,1
ｳﾙｸﾞｱｲ,ウルグアイ,Other,1
ﾍﾞﾈｽﾞｴ,ベネズエ,Other,1
ｺﾛﾝﾋﾞｱ,コロンビア,Other,1
ｷﾙｷﾞｽ,キルギス,Other,1
ﾗﾄﾋﾞｱ,ラトビア,Other,1
ｲﾗﾝ,イラン,Other,1
ｵﾏｰﾝ,オマーン,Other,1
ﾊﾟﾚｽﾁﾅ,パレスチナ,Other,1
ｲｽﾗｴﾙ,イスラエル,Other,1
ﾘﾋﾃﾝｼｭ,リヒテンシュ,Other,1
ﾚｽﾀｰ,レスター,Other,1
